"目标日期","预测日期","总数","命中","部分命中","未命中","严格命中率","调整后命中率","严格加权命中率","调整后加权命中率","核心承接命中","核心承接总数","稳健观察命中","稳健观察总数","弹性进攻命中","弹性进攻总数","其他类型命中","其他类型总数","最佳预测","最差预测","主要误差","策略提醒","下一步规则调整","报告文件"
"2026-06-15","2026-06-14","11","6","2","3","54.5%","63.6%","62.8%","69.9%","3","3","0","1","0","1","3","6","晶盛机电; 中芯国际; 三花智控; 优必选","小米集团-W; 天赐材料; 地平线机器人-W","主线方向判断准确，但第二梯队和情绪票分化明显","是","第二梯队增加相对强弱过滤；情绪票只记录热度不直接升级执行","reports/观察池复盘_2026-06-15.md"
"2026-06-16","2026-06-15","8","4","3","1","50.0%","68.8%","42.9%","62.5%","0","2","2","3","2","3","0","0","永鼎股份; 蓝思科技H; 中天科技; 英维克","中芯国际","核心承接票隔日承接偏乐观；部分方向正确但未给理想执行点","是","核心承接票增加收盘翻红/不失守关键价位二次确认；弹性进攻拆分方向正确与执行触发点","reports/预测命中复盘_2026-06-16.md"
"2026-06-17","2026-06-16","6","5","0","1","83.3%","83.3%","83.3%","83.3%","0","0","0","0","0","0","5","6","中国巨石; 蓝思科技H; 东睦股份; 英维克; 天赐材料","蓝色光标","非规则进攻票整体命中较高，但AI传媒补涨未兑现；中国巨石虽命中但已明显加速","否","非规则票继续单独统计，不纳入交易规则胜率；对加速票增加不追高提醒","reports/预测命中复盘_2026-06-17.md"
"2026-06-18","2026-06-17","7","6","1","0","85.7%","92.9%","83.9%","91.9%","1","2","2","2","3","3","0","0","蓝思科技H; 兴森科技; 中天科技; 通富微电; 东睦股份","英维克","蓝思科技H此前误把昨收28.28录为今日收盘；正确为收盘29.96、+5.94%、命中。英维克盘中突破但收盘翻绿，仍只记部分命中。","否","维持收紧版规则；核心承接继续要求收盘翻红确认，弹性票继续要求收盘站位确认。","reports/预测命中复盘_2026-06-18.md"
"2026-06-22","2026-06-21","12","5","1","6","41.7%","45.8%","41.1%","45.2%","1","2","1","2","2","3","1","5","中天科技; 通富微电; 英维克; 兴森科技; 三安光电","蓝思科技H; 东睦股份; 优必选; 铂力特; 华大九天; 立讯精密","规则票主要错在高开回落与核心承接失效；非规则博弈票分化更大，只有三安光电兑现。","是","规则票总命中率低于60%、加权命中率低于65%，下一交易日收紧：高开超过3%且30分钟不能守触发区不追；核心承接盘中跌破失效位且放量直接降级；港股弹性票必须收盘守住触发下沿。","reports/预测命中复盘_2026-06-22.md"
"2026-06-23","2026-06-22","6","1","3","2","16.7%","41.7%","16.4%","45.1%","0","1","1","3","0","2","0","0","中天科技; 英维克; 三安光电; 永鼎股份","兴森科技; 通富微电","弹性进攻票承接失败，PCB/封装基板和半导体封测回落明显；强势票高开冲高后收盘确认不足，核心承接需继续防高开回落。","是","规则票严格命中率16.7%、调整后加权命中率45.1%，均低于阈值；下一交易日继续收紧：弹性进攻只接受回踩不破后收盘确认，高开票必须不低于开盘价或收在振幅上半区，核心承接必须收盘站稳触发位。适用于算力液冷、光通信、半导体/PCB强势链；若规则票连续两日调整后命中率回到70%以上且无跌破失效位，可解除收紧。","reports/预测命中复盘_2026-06-23.md"
"2026-06-24","2026-06-23","6","3","2","1","50.0%","66.7%","44.4%","64.3%","0","1","2","4","1","1","0","0","三安光电; 立讯精密; 凯美特气","东睦股份; 中天科技; 英维克","规则票整体方向改善，但高波动下盘中跌破降级线较多；稳健/核心票收盘触发确认仍不够充分。","是","规则票严格命中率50.0%、调整后加权命中率64.3%，仍触发收紧：核心承接必须收盘站稳触发位，稳健票盘中跌破降级线只能最多部分命中，弹性票继续压低仓位并要求收在振幅上半区。适用于光通信、液冷/算力、半导体和消费电子强势链；若后续连续两日规则票调整后加权命中率回到70%以上且核心承接无降级，可逐步放宽。","reports/预测命中复盘_2026-06-24.md"
"2026-06-25","2026-06-24","6","3","3","0","50.0%","75.0%","39.4%","69.7%","0","2","1","2","2","2","0","0","通富微电; 英维克; 凯美特气","立讯精密; 三安光电; 雅克科技","方向判断改善，但核心承接仍未给收盘转强确认；高开票缺少合理回踩买点，严格命中率被压低。","是","规则票严格命中率50.0%低于60%，但调整后加权命中率69.7%已回到65%以上；下一交易日维持收紧而不继续升级：核心承接必须收盘站稳触发位，高开超过3%的加速票不追，弹性票只在回踩不破或收在振幅上半区时确认。适用于消费电子、化合物半导体、电子特气、封测、液冷/算力方向；若连续两日调整后加权命中率高于70%且核心票不再降级，可逐步放宽。","reports/预测命中复盘_2026-06-25.md"
"2026-06-26","2026-06-25","6","1","0","5","16.7%","16.7%","15.2%","15.2%","0","2","1","2","0","2","0","0","华海清科","通富微电; 胜宏科技; 新易盛; 英维克; 凯美特气","半导体/AI硬件高位加速后集体回撤，预测仍偏重强势延续；核心承接与弹性票缺少收盘确认，只有半导体设备分支独立走强。","是","规则票严格命中率16.7%、调整后加权命中率15.2%，下一交易日进入更严格收紧：核心承接必须先回踩不破再收盘站回触发位；弹性进攻暂停追突破，只接受低吸后收盘确认；高位AI硬件和半导体链降低仓位。适用于封测、PCB/CPO、液冷算力、电子特气等高位科技线；若连续两日规则票调整后加权命中率回到70%以上且无失效票，可逐步解除。","reports/预测命中复盘_2026-06-26.md"
"2026-06-29","2026-06-28","9","4","0","5","44.4%","44.4%","47.4%","47.4%","1","1","2","3","0","0","1","5","华海清科; 北方华创; 雅克科技; 多氟多","三安光电; 宗申动力; 柯力传感; 三花智控; 中航沈飞","盘前预测中半导体设备/材料主线兑现，但化合物半导体、军工防御、机器人、低空经济等非主线方向未跟随；午后新增票已单独统计，不再混入本表。","否","主策略以规则票统计为准，规则票3/4命中，暂不新增收紧；非规则票参与全量命中率但不触发主策略放宽或收紧。","reports/预测命中复盘_2026-06-29.md"
"2026-06-30","2026-06-29","8","4","3","1","50.0%","68.8%","50.0%","69.4%","1","2","1","2","0","0","2","4","中微公司; 安集科技; 华海清科; 芯源微","盛美上海","主线判断集中在半导体设备/材料，方向基本兑现；主要误差来自盛美上海回落，以及南大光电、多氟多虽走强但未给足够干净的低吸买点。","否","全量票方向较好，但非规则票里高开不给买点的样本较多；明日不追涨停秒板，优先选未极端加速、能回踩不破的半导体材料/设备核心。","reports/预测命中复盘_2026-06-30.md"
"2026-07-01","2026-06-30","8","3","0","5","37.5%","37.5%","33.3%","33.3%","0","2","2","2","0","0","1","4","北方华创; 雅克科技; 华海清科","安集科技; 中微公司; 芯源微; 深科技; 胜宏科技","半导体材料/设备继续分化，核心承接票对冲高回落和跌破降级线惩罚仍不够；非规则高位弹性票多数未能守住尾盘确认位。","是","策略调整依据规则票：规则票严格命中率50.0%、调整后加权命中率40.0%，低于60%/65%阈值。下一交易日核心承接必须先回踩不破且收盘站回触发位；高开或盘中突破后尾盘跌回确认位的一律不追；非规则高位弹性票继续只作观察，不作为放宽依据。","reports/预测命中复盘_2026-07-01.md"
"2026-07-02","2026-07-01","6","0","1","5","0.0%","8.3%","0.0%","7.7%","0","1","0","3","0","0","0","2","多氟多","京东方A; 长电科技; TCL科技; 北方华创; 立昂微","新策略选出的稳健观察方向遇到电子/半导体集体杀跌，且盘中多票跌破失效线；京东方A虽收红但先破失效位，不能算有效承接。","是","稳健观察仍优先，但需增加大盘/板块风险闸门；若主线前一日已有多只跌停或核心票跌破失效线，次日规则票数量降至2-3只，并只选低位承接。","reports/预测命中复盘_2026-07-02.md"
"2026-07-03","2026-07-03","4","0","1","3","0.0%","12.5%","0.0%","12.5%","0","0","0","3","0","0","0","1","亿纬锂能","昊华科技; 湘潭电化; 多氟多","稳健观察低位承接仍偏乐观，昊华科技盘中触发后跌破降级线，湘潭电化与多氟多跌破失效位；亿纬锂能只守支撑未转强。","是","触发原因：规则票严格命中率0.0%、调整后加权命中率16.7%，均低于阈值。建议调整：下一交易日规则票继续压缩到少量稳健观察，先看回踩不破和收盘确认；化工/材料强者和跌停修复票不作为正式规则票。适用范围：氟化工、锂电材料、电池链和高位科技承接。失效条件：后续连续两日规则票调整后加权命中率回到70%以上，且无跌破失效线样本。","reports/预测命中复盘_2026-07-03.md"
"2026-07-06","2026-07-06","5","0","1","4","0.0%","10.0%","0.0%","10.0%","0","0","0","4","0","0","0","1","汽轮科技","深南电路; 东方精工; 蓝思科技; 四川长虹","低估了7月6日科技高位与机器人/PCB回落压力；稳健观察票虽有盘中触发，但多数收盘跌回承接区或确认位下方，说明买点确认仍不够严格。","是","触发原因：规则票严格命中率0.0%、调整后加权命中率12.5%，均低于阈值。建议调整：下一交易日规则票压缩至1-2只，只选板块指数不破位且个股收盘能确认的低位承接；机器人、AI终端、PCB高位票仅观察不追。适用范围：机器人、消费电子、PCB/AI服务器等高波动方向。失效条件：后续连续两日规则票调整后加权命中率回到65%以上，且无盘中触发后收盘跌回承接区样本。","reports/预测命中复盘_2026-07-06.md"
"2026-07-07","2026-07-07","5","1","2","2","20.0%","40.0%","20.0%","40.0%","0","0","0","2","0","0","1","3","恒瑞医药; 中芯国际; 浪潮信息","东方财富; 佰维存储","对医药强势延续估计偏乐观，恒瑞只守承接区，未能转强。 半导体方向判断正确，但中芯国际仍差收盘确认，不能放宽为命中。 金融线受成交缩量拖累，东方财富未升级；存储高位波动风险暴露，佰维跌破失效位，但只作为非规则样本记录。","是","规则票严格命中率 25.0%，调整后加权命中率 50.0%，仍低于 60%/65%阈值，触发策略调整。 触发原因：规则票中浪潮信息条件观察兑现，恒瑞医药和中芯国际只部分命中，东方财富未兑现；规则票严格与加权口径仍低于阈值。非规则佰维存储只计入全量误差，不作为策略调整依据。 建议调整：下一交易日规则票压缩至 1-2 只，只选板块逆势且个股能回踩不破、收盘确认的票；高位存储、医药回落、成交额敏感金融票先降级观察。 适用范围：创新药、半导体、AI服务器、存储芯片、券商/互联网金融。 失效条件：后续连续两日规则票调整后加权命中率回到 65%以上，且无跌破失效位或冲高回落样本。","reports/预测命中复盘_2026-07-07.md"
"2026-07-08","2026-07-07","0","0","0","0","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0","0","0","无","无","当日台账无目标日期为2026-07-08且复盘结果为待复盘的预测记录，无法形成逐票命中样本。","否","无新增规则样本；延续上一交易日收紧框架，下一次预测仍压缩规则票数量，优先稳健观察和收盘确认，科技/半导体高波动票继续降级观察。","reports/预测命中复盘_2026-07-08.md"
"2026-07-09","2026-07-08","12","11","1","0","91.7%","95.8%","91.7%","95.8%","0","0","4","4","0","0","7","8","中芯国际; 中科曙光; 北方华创; 恒瑞医药; 华天科技; 安集科技","沐曦股份-U","主要误差在沐曦股份-U：方向极强但未给回踩买点，高开不回踩导致执行口径只能部分命中。","否","维持高开不追和尾盘确认；半导体规则票可保留，但AI芯片高开不回踩样本只给部分命中，不放宽追高。","reports/预测命中复盘_2026-07-09.md"
"2026-07-10","2026-07-09","12","0","5","7","0.0%","20.8%","0.0%","20.8%","0","0","0","4","0","0","0","8","中兴通讯; 浪潮信息; 长电科技; 华天科技; 天孚通信","中芯国际; 北方华创; 沪电股份; 中微公司; 澜起科技; 新易盛; 华虹宏力","主要误差不是题材方向，而是节奏：7月9日科技高潮后，7月10日半导体/先进封装/PCB/CPO大量高开或冲高回落，正式稳健票几乎都没给到干净承接；条件观察票也多数只有方向热度，没有收盘确认。","是","触发原因：规则票10只中0命中、4部分命中、6未命中，严格命中率0.0%，调整后加权命中率20.0%，均低于60%/65%阈值。建议调整：下一交易日规则票压缩到1-2只，只保留稳健观察，半导体设备/材料、先进封装、AI服务器、PCB、CPO先等板块分歧后再看收盘确认；高开超过3%且不回踩的一律不作为可执行命中。适用范围：半导体、先进封装、AI服务器、PCB、CPO相关规则票。失效条件：后续连续两日规则票调整后加权命中率回到65%以上，且不再出现权重股跌破承接区后收盘无法修复的样本。","reports/预测命中复盘_2026-07-10.md"
"2026-07-13","2026-07-12","10","0","3","7","0.0%","15.0%","0.0%","15.0%","0","0","0","3","0","0","0","7","恒瑞医药; 科伦药业; 博腾股份","烽火通信; 方正科技; 香农芯创; 浪潮信息","周末通信网/算力网政策优先级被过度外推，指数风险释放压倒题材催化；通信、存储、PCB和AI服务器多票跌破承接或深失效。","是","触发原因：规则票严格命中率0.0%、调整后加权命中率6.2%，通信/算力同类票连续未兑现。建议调整：下一交易日正式规则票压缩到1-2只，科技方向降为条件观察，触及深失效位的题材冷却一日。适用范围：通信、算力、存储、PCB、先进封装。失效条件：连续两日规则票调整后加权命中率回到65%以上且无深失效/冲高回落样本。","reports/预测命中复盘_2026-07-13.md"
